iter	Passed	Remaining
390	735	1145
391	736	1141
392	736	1138
393	737	1134
394	738	1131
395	739	1127
396	741	1126
397	743	1124
398	744	1122
399	746	1119
400	747	1116
401	748	1113
402	749	1110
403	751	1108
404	752	1105
405	753	1102
406	754	1099
407	760	1103
408	761	1100
409	762	1097
410	764	1094
411	765	1092
412	766	1089
413	768	1087
414	769	1084
415	770	1081
416	775	1083
417	776	1080
418	777	1078
419	778	1075
420	779	1072
421	780	1069
422	782	1066
423	783	1064
424	784	1061
425	790	1064
426	791	1061
427	792	1059
428	793	1056
429	794	1053
430	796	1050
431	797	1048
432	798	1045
433	800	1043
434	801	1040
435	809	1047
436	810	1044
437	812	1042
438	815	1042
439	817	1039
440	818	1037
441	819	1034
442	821	1032
443	822	1029
444	823	1027
445	824	1024
446	833	1031
447	834	1028
448	836	1026
449	837	1023
450	838	1020
451	839	1017
452	840	1014
453	841	1012
454	843	1010
