iter	Passed	Remaining
282	1709	4330
283	1713	4320
284	1715	4304
285	1717	4288
286	1719	4272
287	1738	4297
288	1740	4281
289	1744	4271
290	1747	4256
291	1748	4240
292	1750	4224
293	1756	4218
294	1761	4210
295	1763	4194
296	1765	4179
297	1767	4163
298	1769	4148
299	1771	4133
300	1776	4126
301	1778	4110
302	1780	4095
303	1782	4081
304	1784	4066
305	1786	4051
306	1790	4042
307	1834	4121
308	1836	4107
309	1841	4099
310	1843	4084
311	1846	4071
312	1848	4057
313	1850	4042
314	1852	4027
315	1857	4021
316	1859	4007
317	1861	3993
318	1863	3978
319	1865	3964
320	1867	3950
321	1880	3959
322	1884	3950
323	1887	3938
324	1889	3924
325	1891	3910
326	1893	3896
327	1895	3883
328	1899	3874
329	1901	3861
330	1903	3848
331	1905	3834
332	1907	3821
333	1909	3807
334	1911	3794
335	1917	3789
336	1919	3776
337	1921	3763
338	1923	3750
339	1925	3737
340	1929	3729
341	1932	3718
342	1935	3706
343	1937	3694
344	1939	3681
345	1941	3669
346	1946	3662
347	1947	3649
348	1949	3637
349	1951	3624
350	1953	3612
351	1960	3608
352	1962	3597
353	1964	3585
354	1966	3572
355	1968	3560
356	1970	3548
357	1972	3536
358	1974	3526
359	1976	3514
360	1978	3502
361	1980	3490
362	1982	3478
363	1984	3466
364	1992	3465
365	1994	3454
366	1996	3443
367	2001	3437
368	2003	3425
369	2005	3414
370	2007	3402
371	2009	3391
372	2012	3382
373	2015	3373
374	2017	3361
375	2019	3352
376	2021	3340
377	2023	3329
378	2027	3322
379	2038	3325
380	2040	3315
381	2045	3308
382	2047	3297
383	2049	3287
384	2062	3294
385	2064	3283
386	2066	3272
387	2067	3261
388	2070	3251
389	2072	3241
390	2077	3235
391	2079	3224
392	2080	3214
393	2131	3278
394	2133	3268
395	2135	3257
396	2140	3251
397	2143	3241
398	2144	3230
399	2147	3220
400	2149	3210
401	2150	3199
402	2163	3204
403	2165	3194
404	2167	3183
405	2169	3173
406	2171	3163
407	2173	3153
408	2175	3143
409	2177	3133
410	2179	3122
411	2181	3112
412	2186	3107
413	2188	3097
